Name,ArrowtoothFlounder,,,,,,,,,,,,,,,,,,,
Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
CAA 2000,0,0,0,0.007697,0.049009,0.049341,0.053283,0.145084,0.116578,0.112257,0.152041,0.10846,0.042246,0.083431,0.032052,0.027433,0.003848,0.011823,0.001568,0.003848
CAA 2001,0,0,0,0,0,0.006868,0.033439,0.025298,0.098256,0.109828,0.253696,0.228481,0.069437,0.089318,0.068185,0.009096,0.000998,0,0,0.0071
CAA 2002,0,0.007655,0.035953,0.132602,0.128937,0.256359,0.020589,0.037992,0.055569,0.079504,0.094684,0.06197,0.021449,0.036508,0.0059,0.014427,0.000633,0.004635,0,0.004635
CAA 2003,0,0,0,0,0.018645,0.023217,0.025007,0.023555,0.175455,0.310229,0.020773,0.099862,0.041208,0.128727,0.066492,0.064701,0,0.002128,0,0
CAA 2004,0,0,0,0,0.005113,0.005477,0.03821,0.13627,0.216844,0.183807,0.074115,0.048436,0.049765,0.053912,0.130055,0.020815,0.005113,0.010225,0.010954,0.01089
CAA 2005,0,0,0.015436,0.00976,0.064603,0.045651,0.101829,0.053152,0.204841,0.174147,0.126065,0.125402,0.010409,0.021211,0.004733,0.034311,0,0.002112,0.004225,0.002112
CAA 2006,0,0,0,0.045252,0.002686,0.071612,0.102552,0.108171,0.198984,0.093008,0.01504,0.099234,0.071773,0.035902,0.049646,0.017982,0.030453,0.017177,0.007111,0.033416
CAA 2007,0,0,0,0.012232,0.074889,0.11273,0.100498,0.191055,0.252567,0.121892,0.029045,0.017958,0.003435,0.043567,0.012232,0.014522,0.012232,0,0,0.001145
CAA 2008,0,0,0,0,0,0,0.056604,0.075472,0.188679,0.113208,0.037736,0.113208,0.075472,0.056604,0.132075,0,0.037736,0.018868,0.056604,0.037736
CAA 2009,0,0,0,0,0,0,0.137931,0.241379,0.241379,0.068966,0.068966,0,0.068966,0.034483,0.034483,0,0.034483,0,0.034483,0.034483
CAA 2010,0,0,0,0.000012,0.085597,0.000006,0.028538,0.000184,0.171317,0.142935,0.171658,0.114292,0.085578,0.114111,0.028532,0.00012,0,0,0,0.05712
CAA 2011,0,0,0,0,0,0,0.030875,0.071182,0.119496,0.1235,0.198684,0.228131,0.162379,0.034878,0.030875,0,0,0,0,0
CAA 2012,0,0,0.000744,0.000372,0.002029,0.015163,0.001545,0.051114,0.189189,0.260971,0.169851,0.137388,0.095715,0.023791,0.035766,0,0.013389,0,0.0026,0.000372
CAA 2013,0,0,0,0,0.019559,0.058676,0.02116,0.04392,0.161272,0.280226,0.123756,0.125357,0.039118,0.024361,0.079836,0.02276,0,0,0,0
Current stock depletion ,NA,,,,,,,,,,,,,,,,,,,
Current stock abundance,NA,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.3,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter (mm),90,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 ,0,,,,,,,,,,,,,,,,,,,
Length-weight parameter a,NA,,,,,,,,,,,,,,,,,,,
Length-weight parameter b,NA,,,,,,,,,,,,,,,,,,,
Steepness,NA,,,,,,,,,,,,,,,,,,,
Maximum age,25,,,,,,,,,,,,,,,,,,,
CV Catch,NA,,,,,,,,,,,,,,,,,,,
CV Depletion over time t,NA,,,,,,,,,,,,,,,,,,,
CV Average catch over time t,NA,,,,,,,,,,,,,,,,,,,
CV Abundance index,NA,,,,,,,,,,,,,,,,,,,
CV M,NA,,,,,,,,,,,,,,,,,,,
CV FMSY/M,NA,,,,,,,,,,,,,,,,,,,
CV BMSY/B0,NA,,,,,,,,,,,,,,,,,,,
CV current stock depletion,NA,,,,,,,,,,,,,,,,,,,
CV current stock abundance,NA,,,,,,,,,,,,,,,,,,,
CV von B. K parameter,NA,,,,,,,,,,,,,,,,,,,
CV von B. Linf parameter,NA,,,,,,,,,,,,,,,,,,,
CV von B. t0 parameter,NA,,,,,,,,,,,,,,,,,,,
CV Length at 50% maturity,NA,,,,,,,,,,,,,,,,,,,
CV Length at first capture,NA,,,,,,,,,,,,,,,,,,,
CV Length at full selection,NA,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter a,NA,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter b,NA,,,,,,,,,,,,,,,,,,,
CV Steepness,NA,,,,,,,,,,,,,,,,,,,
Sigma length composition,NA,,,,,,,,,,,,,,,,,,,
Units,1000 tonnes,,,,,,,,,,,,,,,,,,,
Reference OFL,NA,,,,,,,,,,,,,,,,,,,
Reference OFL type,NA,,,,,,,,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,,,,,,,,
LHYear,NA,,,,,,,,,,,,,,,,,,,
